Address,Amount Deposited
0x26b2278CB756c28d9D6e362B6dD5E8d17844fD07,14.38326
0x853Ccc18e05996e991cC00CC1018099b7Fc5eE5f,14.20541
0xA6DE2e9B80eF5235Ce2240c2C2dE123e9cdd31b7,13.92249
0x85b8927cEA8649e20f64a8C0192D0CE460605B94,13.90262
0x9d67654f7d5798AB5FC62c66D59Ae8A882eBF862,13.9
0x2164D11A23268f161AB210Bbb0bEE7523732014D,13.89556
0xcEca5997743ACe9c1005180a80678D117Df60Be6,13.89555
0x523B88724ED5F6bA34598daB8d85bcC0D67ae1f9,13.84895
0xfa974Dbc00D853D812380a8C405A1e53889a7517,13.3
0x61F2950C5D6Bfb600fAF4C07a7f033C32f8b7477,13.2
0x90824DEf8C54B31db770A70e811bDC56Cffd8B4E,13.15
0xbaf6EDBd144CF6c05E699550493Ee41C2BAdeA90,13.09911
0xfBdeE0b3FE74BDCBb3e6d5CDA7b29B4789eFc6E6,13
0x2A50d9A90626AC31fe187E6d145167B6e8355DCc,12.80921
0x3f2609c009a021DCaEf887c56FeDAa9B3fE6Aa11,12.67413
0x351d3c2f48732A0ba349c0d2DBEE0d4E84d15594,12.53336
0x88971D125D6B541ad4b9B5295158c0e73Dbac50C,12.11269
0x27844bDbBd5fD7Ab16ae8F9b6FA62231AAd4c56A,12.02222
0xDB5DeB515fD1c41243BDC20125474a138528A8a0,12.00318
0xaB43d95055bb769e1D6F9CA10952ab562D71b299,12
0x80fe79146fc54713aCEb404b1b6b885d7E6D4D98,12
0x325e6Af7875B9bD0CCe3E71070a6cE57324CfD44,12
0x9861878C116eE0D29312c8C14c3952643584463B,11.96529
0xefA9eD5343aD81A8aB123786C0B8c38632CAAA7D,11.95984
0x33e1357E04dD17883cb3c521cf202690817C7914,11.92817
0x14F656d04B976d35Ee2A18E87EDB2054402DE88B,11.92664
0x2d7CECdB0595F89B92A155E1170E0c2768ACCC16,11.91048
0x7940584fc34A0f6A2536C0dfdeD48572c63Af92D,11.8907
0x02728E342e55c73965c8eAEdC3af59741cD81661,11.51258
0x25a8a58c225647d31Ec72d465ce6982A37ce3cE3,11.37666
0x849d73B17eeD80E5A816156Dfe3fa3d886497E49,11.21631
0x8f23763A82147793C8d43622Ba5434239e7D8C21,11.07559
0xa2009cCbC790144A25bA77F19aEC5e3639376994,11.07551
0x7d73D72990acDf7e3eA5E1776253baaE096817B7,11.07543
0x8D2cC4920Df0EfD14E383aD211c47eb4E34e50f7,11.07535
0x82ae8bc78AFFb1B9B0df245B52BAa8B7d106DBdA,11.07528
0xCA4269E0A4fc54Fb79A060b96875d59a478fA575,11.0752
0x005254b0DbC7D591452CD668eC0Be408b1053b1c,11.07512
0x88577bE1cB5b8E6EE8C8C6E4FDaa5469427C896c,11.07504
0x67220e6AeD700D965fb5eDb8CDa4576D7B57B281,11.07496
0x00A94EF6A96f0CbaC4C6c5365141B996609A080E,11.07488
0x78631834aA131103D21Ec7Df24C3F6215f2AFe57,11.0748
0xbb0Aee694446C9e9d6a3427FeE1F20C24Ab7B41c,11.07472
0x80916E756F1Ac52eef55D8d3F3F355e1550eC6fe,11.07464
0x0BB58E64Ba17824a77D100b531067B7cDe50098e,11.07456
0x339FC736b742271C4a40136faC41F7cF4189833d,11.07448
0xA6363d99006E04f5CC86A81a92Af1FdB41d77038,11.0744
0x6481BC4e9d8E13e29246Fec2F66e364849D47EEe,11.07432
0xcB49f1f61aa5CC4bBc17Cbe5cAc57827Ee40d31c,11.07425
0x522fEc1A8b8957651D44dA02FBA08fa8bf1B3A74,11.07417
0xF9E9ed0F4b9a4B1A608cd37F898eAcBE34e5c944,11.07409
0x6366Fb39202431491ac69B65F659476f81B38509,11.07401
0xd13a4D252DB78d96d206b973b0Ca9549E16e6de3,11.07393
0x801a72cA21deaBB94b1e6894022c518e991091CE,11.07385
0xa4c278509faf1D5107312237e21d4BFE58680Eb0,11.07378
0xe771C33C1555248ad6C68ab359DEC0f06600929F,11.0737
0xe7e0A8fFeB0eB80aD532071aE0BCe7Ba18920ea2,11.07362
0xDa00A69a7BBc3f3B98fD9741bDC3B212fbBc1Ce7,11.07354
0xD6799F53Ecd9dd92A9dc679dF288b693d90c81Da,11.07346
0x796c927CCbB2e26bF57780578Ed4Cc7dB7e16400,11.07338
0x6A3EF475C5949210Be3dAeCA729b9b658eEE4505,11.07331
0xfc888fADd4063cB98041A59A232183a6d4306da2,11.07323
0xE6A1Ff1CDb17130212E8a1Ff596b8beadf112735,11.07315
